Animal,Scientific Name,Height (cm),Weight (kg),Color,Lifespan (years),Diet,Habitat,Predators,Average Speed (km/h),Countries Found,Conservation Status,Family,Gestation Period (days),Top Speed (km/h),Social Structure,Offspring per Birth
Harbour Porpoise,Phocoena phocoena,140 to 190,60 to 75,Dark Grey,15 to 20,Carnivore,Coastal Waters,"Orcas, Great White Sharks",10,Northern Hemisphere,Least Concern,Phocoenidae,300 to 330,20,Small groups,1
Harp Seal,Pagophilus groenlandicus,180,Up to 160,"Silver, Gray",20 to 35,Carnivore,"Arctic, Atlantic Ocean","Polar Bears, Orcas",19 to 22,"Arctic, Atlantic Ocean",Least Concern,Phocidae,335,28,Group-based,1
Hippopotamus,Hippopotamus amphibius,120 to 160,1300 to 3200,Grey,40 to 50,Herbivore,"Rivers, Lakes","Lions, Crocodiles",25,Sub-Saharan Africa,Vulnerable,Hippopotamidae,230 to 250,30,Group-based,1
Howler Monkey,Alouatta,55 to 90,4 to 10,"Black, Brown",15 to 20,Herbivore,Rainforests,"Harpy Eagles, Jaguars",15,Central and South America,Least Concern,Atelidae,180,20,Troops,1
Humpback Whale,Megaptera novaeangliae,1700,Up to 30000,"Black, White",45 to 50,Omnivore,Oceans,Orcas,24 to 27,Worldwide,Least Concern,Balaenopteridae,365,24 to 27,Solitary,1
Iberian Lynx,Lynx pardinus,60 to 70,9 to 14,Yellowish-brown,10 to 13,Carnivore,Mediterranean Scrublands,"Humans, Wildcats",70 to 80,"Spain, Portugal",Endangered,Felidae,63 to 67,70 to 80,Solitary,1 to 4
Indian Python,Python molurus,250 to 300,30 to 50,Patterned Brown,10 to 15,Carnivore,"Forests, Swamps",Tigers,2,"India, Sri Lanka",Near Threatened,Pythonidae,60 to 90,5,Solitary,20 to 100 (eggs)
Indian Rhinoceros,Rhinoceros unicornis,170 to 200,1600 to 2200,Grey-brown,35 to 45,Herbivore,Grasslands,Tigers,25,"India, Nepal",Vulnerable,Rhinocerotidae,480,55,Solitary,1
Indian Wolf,Canis lupus pallipes,60 to 75,18 to 25,Reddish-white,10 to 12,Carnivore,Scrublands,"Tigers, Leopards",30,"India, Pakistan",Least Concern,Canidae,62 to 65,55,Packs,4 to 6
Indri,Indri indri,70,Up to 6,"Black, White",15 to 18,Herbivore,Rainforests,"Fossa, Birds of Prey",24 to 27,Madagascar,Critically Endangered,Indridae,120 to 140,24 to 27,Solitary,1
Indus River Dolphin,Platanista minor,200 to 250,70 to 110,Grey-brown,30,Carnivore,Freshwater Rivers,None (Apex Predator),5,"Pakistan, India",Endangered,Platanistidae,300,10,Small groups,1
Inland Taipan,Oxyuranus microlepidotus,180 to 250,2,Brown,10 to 15,Carnivore,Semi-arid regions,"Mulga Snakes, Goannas",10,Australia,Least Concern,Elapidae,60 to 70,15,Solitary,12 to 24 (eggs)
Jaguar,Panthera onca,63 to 76,56 to 96,Yellow with rosettes,12 to 15,Carnivore,"Rainforests, Swamps",None (Apex Predator),40,Americas,Near Threatened,Felidae,90 to 105,80,Solitary,2 to 4
Japanese Macaque,Macaca fuscata,50 to 60,10 to 14,Brown,20 to 30,Omnivore,"Forests, Mountains","Humans, Leopards",30,"Japan, China, North Korea",Least Concern,Cercopithecidae,173 to 194,30,Social groups,1
Javan Rhinoceros,Rhinoceros sondaicus,140 to 170,900 to 2300,Grey,30 to 40,Herbivore,Rainforests,None (Apex Predator),20,Indonesia,Critically Endangered,Rhinocerotidae,480,45,Solitary,1
Kangaroo Rat,Dipodomys,7 to 15,0.035 to 0.15,"Brown, Gray",2 to 5,Herbivore,Deserts,"Snakes, Birds of Prey",16,North America,Least Concern,Heteromyidae,22 to 24,16,Solitary,2 to 5
King Cobra,Ophiophagus hannah,550,Up to 9,Olive-green,20 to 30,Carnivore,"Grasslands, Forests","Birds, Snakes",20,"Southeast Asia, South Asia",Vulnerable,Elapidae,90 to 113,20,Solitary,20 to 40
Koala,Phascolarctos cinereus,60 to 85,4 to 15,Grey,13 to 18,Herbivore,Eucalyptus Forests,"Dingoes, Owls",2,Australia,Vulnerable,Phascolarctidae,35,10,Solitary,1
Komodo Dragon,Varanus komodoensis,300,Up to 90,Grey,20 to 30,Carnivore,"Islands, Grasslands","Humans, Larger Predators",20,Indonesia,Vulnerable,Varanidae,7 to 8 months,20,Solitary,20 to 25
Lar Gibbon,Hylobates lar,45 to 60,5 to 7,"Varies (Black, Blonde)",25 to 30,Herbivore,Rainforests,"Eagles, Leopards",20,Southeast Asia,Endangered,Hylobatidae,210,55,Family Groups,1
Leaf-tailed Gecko,Uroplatus,25,Up to 250,Various,10 to 15,Insectivore,"Rainforests, Madagascar","Birds, Snakes",0.8 to 1,Madagascar,Not Evaluated,Gekkonidae,45 to 60,5,Solitary,1 to 2
Leafy Sea Dragon,Phycodurus eques,35,Up to 0.5,"Brown, Green",Up to 10,Carnivore,Seaweed Beds,"Fish, Octopuses",1,Southern Australia,Near Threatened,Syngnathidae,30 to 40,2,Solitary,Up to 300
Leatherback turtle,Dermochelys coriacea,120 to 180,250 to 700,Black,50,Carnivore,Oceans,"Sharks, Orcas",10,Worldwide,Vulnerable,Dermochelyidae,60,35,Solitary,80 to 100 (eggs)
Lion-tailed Macaque,Macaca silenus,45 to 60,2.5 to 10,Black,20 to 30,"Omnivore, Herbivore","Western Ghats, India","Tigers, Leopards",30 to 40,India,Endangered,Cercopithecidae,150 to 170,35,Social groups,1
Llama,Lama glama,170 to 180,130 to 200,"Brown, White, Black",15 to 25,Herbivore,Mountains,Pumas,25,South America,Least Concern,Camelidae,350,50,Herds,1
Lynx,Lynx,60 to 75,8 to 30,"Brown, Grey",15,Carnivore,"Forests, Tundra","Wolves, Pumas",30,"North America, Eurasia",Least Concern,Felidae,70,80,Solitary,1 to 4
Malabar Giant Squirrel,Ratufa indica,25 to 45,1.5 to 2,Multi-colored,20,Herbivore,Forests,"Eagles, Leopards",15,India,Least Concern,Sciuridae,28,30,Solitary,1 to 2
Malayan Krait,Bungarus candidus,150,Up to 2.2,"Black, Yellow",10 to 15,Carnivore,"Forests, Grasslands","Mongooses, Birds",2,Southeast Asia,Least Concern,Elapidae,180 to 270,5,Solitary,8 to 16
Malayan Tapir,Tapirus indicus,90 to 110,250 to 320,Black and White,30,Herbivore,Rainforests,Tigers,15,Southeast Asia,Endangered,Tapiridae,390,48,Solitary,1
Malayan Tiger,Panthera tigris jacksoni,108 to 133,100 to 390,"Orange, Black Stripes",10 to 15,Carnivore,Rainforests,"Humans, Leopards",28,Malayan Peninsula,Endangered,Felidae,280 to 310,28,Solitary,1 to 4
Manatee,Trichechus,300 to 400,400 to 590,"Gray, Brown",40 to 60,Herbivore,"Rivers, Coastal Areas","Alligators, Sharks",8,"North, Central, and South America",Vulnerable,Trichechidae,365 to 450,8,Solitary,1
Mandrill,Mandrillus sphinx,75,Up to 55,"Brown, Green",20 to 40,Omnivore,Rainforests,"Leopards, Humans",30,Central Africa,Vulnerable,Cercopithecidae,175 to 190,30,Social groups,1
Maned Wolf,Chrysocyon brachyurus,67 to 107,20 to 25,Reddish-Brown,6 to 8,Omnivore,"Grasslands, Forests","Jaguars, Pumas",56,South America,Near Threatened,Canidae,65 to 70,56,Solitary,2 to 6
Markhor,Capra falconeri,115,Up to 110,"Brown, Gray",10 to 13,Herbivore,Mountains,"Wolves, Snow Leopards",40 to 64,"Central Asia, South Asia, Middle East",Near Threatened,Bovidae,135 to 170,40 to 64,Solitary,1 to 2
Masai Giraffe,Giraffa tippelskirchi,430 to 570,800 to 1930,Yellow with jagged brown spots,25,Herbivore,"Savannas, Woodlands",Lions,15,"Kenya, Tanzania",Endangered,Giraffidae,400 to 460,60,Loose Herds,1
Meerkat,Suricata suricatta,25 to 35,0.6 to 1,"Brown, Tan",12 to 14,"Omnivore, Insectivore",Arid regions,"Eagles, Jackals",32,"Kalahari Desert, Africa",Least Concern,Herpestidae,70 to 73,32,Social groups,2 to 5
Monitor Lizard,Varanus,244,Up to 166,Dark Brown,10 to 15,Carnivore,Various,"Birds, Snakes",10,"Africa, Asia, Australia, Oceania",Least Concern,Varanidae,210 to 240,20,Solitary,10 to 50 (eggs)
Moose,Alces alces,140 to 210,200 to 700,Brown,15 to 25,Herbivore,Boreal Forests,"Bears, Wolves",30,"North America, Europe, Asia",Least Concern,Cervidae,230 to 240,56,Solitary,1 to 2
Mountain Goat,Oreamnos americanus,90 to 120,45 to 140,White,12 to 15,Herbivore,Alpine Tundra,"Pumas, Bears, Wolves",15,North America,Least Concern,Bovidae,180,35,Herds,1 to 2
Mountain Gorilla,Gorilla beringei beringei,120 to 200,70 to 200,"Black, Brown",35 to 40,Herbivore,"Rainforests, Mountains","Leopards, Humans",40,"Democratic Republic of Congo, Uganda",Endangered,Hominidae,255 to 270,40,Group-based,1
Mugger Crocodile,Crocodylus palustris,300 to 400,200 to 250,Brown,60 to 70,Carnivore,"Rivers, Lakes",Tigers,12,"India, Sri Lanka",Vulnerable,Crocodylidae,60 to 70,18,Solitary,25 to 30 (eggs)
Naked Mole Rat,Heterocephalus glaber,9,Up to 80,"Pink, Wrinkled",Up to 32,"Herbivore, Insectivore",Underground Tunnels,"Snakes, Humans",0.03 to 0.08,East Africa,Least Concern,Heterocephalidae,70,10,Eusocial,Up to 28
Narwhal,Monodon monoceros,500,Up to 1600,"Gray, Mottled White",50 to 60,Carnivore,Arctic Waters,"Polar Bears, Orcas",45,Arctic,Near Threatened,Monodontidae,14 to 16 months,45,Solitary,1
Nile Crocodile,Crocodylus niloticus,350 to 500,225 to 700,Olive,70 to 100,Carnivore,"Rivers, Lakes, Marshes",None (Apex Predator),15,Africa,Least Concern,Crocodylidae,80 to 90,30,Solitary/Groups,25 to 80 (eggs)
Nile Lechwe,Kobus megaceros,90 to 100,60 to 90,"Red-brown (females), Black-brown (males)",10 to 15,Herbivore,"Swamps, Floodplains","Lions, Leopards, Crocodiles",25,"Sudan, Ethiopia",Endangered,Bovidae,210 to 225,50,Herds,1
Nilgai,Boselaphus tragocamelus,110 to 150,120 to 288,"Blue-grey (males), Tawny (females)",12 to 15,Herbivore,"Grasslands, Woodlands","Tigers, Leopards, Lions",25,"India, Nepal, Pakistan",Least Concern,Bovidae,240 to 258,48,Herds,1 to 2
Nilgiri Tahr,Nilgiritragus hylocrius,80 to 100,80 to 100,Brown,9,Herbivore,Mountains,"Leopards, Dholes",40,India,Endangered,Bovidae,170,40,Herds,1
Nine-banded Armadillo,Dasypus novemcinctus,40 to 60,2.5 to 6.5,Grey-brown,12 to 15,Insectivore,"Grasslands, Forests","Pumas, Coyotes",5,Americas,Least Concern,Dasypodidae,120,48,Solitary,4
North American Beaver,Castor canadensis,75 to 90,11 to 32,Brown,10 to 15,Herbivore,"Rivers, Ponds, Lakes","Wolves, Coyotes, Bears",8,North America,Least Concern,Castoridae,105 to 107,24,Colonies,1 to 6
North Sulawesi Babirusa,Babyrousa celebensis,65 to 80,90 to 100,Grey-brown,10 to 12,Omnivore,Rainforests,"Pythons, Crocodiles",20,Indonesia,Vulnerable,Suidae,155,40,Small Groups,1 to 2
Nudibranch,Nudibranchia,30,Up to 1,Various,Up to 10,Carnivore,"Oceans, Coral Reefs","Sea Anemones, Predatory Fish",0.1,Oceans worldwide,Not Evaluated,Nudibranchia,5 to 50,0.5,Solitary,"Up to 2,000,000 (eggs)"
Numbat,Myrmecobius fasciatus,35 to 45,0.32 to 1,"Red, White",Up to 5,Insectivore,Eucalyptus Forests,"Foxes, Cats",8,Western Australia,Endangered,Myrmecobiidae,14,8,Solitary,4 to 6
Nyala,Tragelaphus angasii,80 to 120,55 to 125,Brown with white stripes,19,Herbivore,Woodlands,"Lions, Leopards",20,Africa,Least Concern,Bovidae,220,48,Herds,1
Ocelot,Leopardus pardalis,40 to 50,8 to 15,Spotted Yellow-brown,10 to 13,Carnivore,"Rainforests, Scrublands","Jaguars, Pumas",20,Americas,Least Concern,Felidae,79 to 82,60,Solitary,1 to 3
Okapi,Okapia johnstoni,200 to 250,200 to 350,"Brown, White",20 to 30,Herbivore,Central Africa,"Leopards, Lions",56,Democratic Republic of Congo,Endangered,Giraffidae,440 to 450,58,Solitary,1
Orangutan,Pongo,160,30 to 82,Reddish-brown,30 to 45,Omnivore,Rainforests,"Tigers, Humans",6 to 12,"Indonesia, Malaysia",Critically Endangered,Hominidae,230 to 250,40,Solitary,1
Orca,Orcinus orca,600 to 800,3000 to 4000,Black and White,50 to 80,Carnivore,Oceans,None (Apex Predator),10,Worldwide,Data Deficient,Delphinidae,450 to 540,56,Pods,1
Pangolin,Pholidota,30 to 100,2 to 40,"Brown, Yellowish",10 to 20,Insectivore,"Grasslands, Forests","Lions, Tigers",32,"Asia, Africa",Critically Endangered,Manidae,240 to 260,32,Solitary,1
Patagonian Mara,Dolichotis patagonum,45 to 75,5.5 to 16,"Brown, Gray",5 to 10,Herbivore,Grasslands,"Foxes, Birds of Prey",30,"Argentina, Chile",Least Concern,Caviidae,75 to 80,30,Group-based,1 to 3
Philippine Crocodile,Crocodylus mindorensis,150 to 300,15 to 20,Golden-brown,70 to 80,Carnivore,Freshwater Rivers,None (Apex Predator),10,Philippines,Critically Endangered,Crocodylidae,65 to 85,15,Solitary,7 to 20 (eggs)
Pink Fairy Armadillo,Chlamyphorus truncatus,9 to 15,Up to 120,Pink,4 to 8,Insectivore,Grasslands,"Foxes, Birds of Prey",2,Argentina,Near Threatened,Chlamyphoridae,60 to 64,5,Solitary,1
Pit Viper,Crotalinae,50 to 150,0.5 to 2,"Green, Brown",10 to 15,Carnivore,"Forests, Deserts","Birds of Prey, Mongoose",3,"Americas, Asia",Least Concern,Viperidae,120 to 150,8,Solitary,2 to 20
Plains Zebra,Equus quagga,220 to 340,400 to 900,"Black, White",20 to 25,Herbivore,Grasslands,"Lions, Hyenas",25,Africa,Least Concern,Equidae,180 to 365,25,Group-based,5 to 20
Platypus,Ornithorhynchus anatinus,10 to 15,0.7 to 2.4,Brown,10 to 17,"Carnivore, Insectivore",Eastern Australia,"Foxes, Birds of Prey",3 to 7,Australia,Near Threatened,Ornithorhynchidae,10 days (in burrow),9,Solitary,1 to 3 (rarely 5)
Polar Bear,Ursus maritimus,160,Up to 700,White,25 to 30,Carnivore,Arctic,Orcas,40,Arctic,Vulnerable,Ursidae,195 to 265,40,Solitary,1 to 2
Proboscis Monkey,Nasalis larvatus,45 to 75,14 to 24,"Orange, Brown",Up to 15,Herbivore,"Mangroves, Rainforests",Clouded Leopards,24 to 32,"Borneo, Malaysia",Endangered,Cercopithecidae,166 to 200,24 to 32,Social groups,1
Pronghorn,Antilocapra americana,81 to 104,40 to 70,"Brown, White",10 to 15,Herbivore,Grasslands,"Coyotes, Bobcats",88.5,North America,Least Concern,Antilocapridae,240,88.5,Group-based,1
Przewalski's Horse,Equus ferus przewalskii,120 to 140,250 to 360,Dun,20,Herbivore,Steppes,Wolves,30,Mongolia,Endangered,Equidae,330 to 340,60,Herds,1
Pufferfish,Tetraodontidae,60,Up to 0.8,Various,3 to 10,Carnivore,Tropical and Subtropical,"Sharks, Humans",8,Oceans worldwide,Not Evaluated,Tetraodontidae,4 to 7,8,Solitary,Thousands (eggs)
Puma,Puma concolor,60 to 90,30 to 100,Tawny,8 to 13,Carnivore,"Mountains, Forests","Wolves, Bears",40,Americas,Least Concern,Felidae,91,80,Solitary,1 to 4
Purple Frog,Nasikabatrachus sahyadrensis,5 to 9,0.1 to 0.2,Purple,10 to 12,Insectivore,Underground,"Snakes, Birds",2,India,Endangered,Nasikabatrachidae,100,5,Solitary,3000 (eggs)
Pygmy Hippopotamus,Choeropsis liberiensis,75 to 100,180 to 275,Black-brown,30 to 50,Herbivore,"Forests, Swamps","Leopards, Pythons",10,West Africa,Endangered,Hippopotamidae,190 to 210,30,Solitary,1
Quokka,Setonix brachyurus,40 to 54,2.5 to 5,"Brown, Gray",5 to 10,Herbivore,"Scrublands, Forests","Foxes, Cats",24,Australia,Vulnerable,Macropodidae,25 to 30,24,Solitary,1
Raccoon,Procyon lotor,40 to 70,5 to 26,Grey with black mask,2 to 3,Omnivore,"Forests, Urban Areas","Coyotes, Bobcats",10,North America,Least Concern,Procyonidae,63,24,Solitary/Loose Groups,2 to 5
Red Deer,Cervus elaphus,105 to 120,150 to 250,Red-brown,15 to 20,Herbivore,"Forests, Grasslands","Wolves, Bears, Lynx",25,"Europe, Asia, North Africa",Least Concern,Cervidae,240 to 262,65,Herds,1
Red Fox,Vulpes vulpes,35 to 50,3 to 7,Reddish-brown,3 to 5,Omnivore,"Forests, Grasslands","Wolves, Eagles",48,"North America, Europe, Asia",Least Concern,Canidae,52,48,Solitary,4 to 6
Red Kangaroo,Osphranter rufus,140 to 180,18 to 95,"Brown, Red",Up to 23,Herbivore,Grasslands,"Dingoes, Eagles",56,Australia,Least Concern,Macropodidae,30 to 34,56,Group-based,1
Red Panda,Ailurus fulgens,50 to 65,3 to 6,Reddish-brown,8 to 12,Herbivore,Himalayan Foothills,"Snow Leopards, Martens",0.2 to 0.4,"China, Nepal, Bhutan, India",Endangered,Ailuridae,112 to 158,0.2 to 0.4,Solitary,1 to 4
Red River Hog,Potamochoerus porcus,55 to 80,45 to 115,Reddish-brown,15,Omnivore,Rainforests,Leopards,15,Africa,Least Concern,Suidae,120,40,Sounders,3 to 6
Red-Eyed Tree Frog,Agalychnis callidryas,5.1 to 7.5,Up to 0.1,"Green, Red",Up to 5,Insectivore,Rainforests,"Snakes, Birds",1,Central America,Least Concern,Hylidae,5 to 7,3,Solitary,Up to 100
Red-necked Wallaby,Notamacropus rufogriseus,70 to 90,13 to 18,Grey-brown with red neck,10 to 15,Herbivore,"Forests, Scrublands","Dingoes, Foxes",20,Australia,Least Concern,Macropodidae,30,40,Mobs,1
Reindeer,Rangifer tarandus,85 to 150,80 to 120,Brown and White,15,Herbivore,"Tundra, Boreal Forests","Wolves, Bears",30,Arctic and Subarctic regions,Vulnerable,Cervidae,220,80,Herds,1
Reticulated Python,Malayopython reticulatus,300 to 600,75,Patterned Brown,20,Carnivore,Rainforests,"Tigers, Crocodiles",3,Southeast Asia,Least Concern,Pythonidae,80 to 90,5,Solitary,25 to 80 (eggs)
Ring-tailed Lemur,Lemur catta,30 to 50,0.6 to 3.5,Various,15 to 25,Omnivore,"Rainforests, Madagascar","Fossa, Hawks",24 to 29,Madagascar,Vulnerable,Lemuridae,134 to 138,29,Group-based,1 to 2
Rothschild's Giraffe,Giraffa camelopardalis rothschildi,430 to 580,800 to 1900,Yellow with smooth brown patches,25,Herbivore,"Savannas, Woodlands",Lions,15,"Kenya, Uganda",Near Threatened,Giraffidae,400 to 460,60,Loose Herds,1
Rottweiler,Canis lupus familiaris,56 to 69,36 to 60,"Black, Tan",8 to 10,Carnivore,Worldwide,"Wolves, Coyotes",35,Worldwide,Domesticated,Canidae,61 to 65,32,Pack-based,6 to 12
Russell's Viper,Daboia russelii,120 to 166,1.5 to 2.5,Brown with spots,15,Carnivore,"Grasslands, Scrublands","Mongoose, Eagles",5,"India, Southeast Asia",Least Concern,Viperidae,180,10,Solitary,20 to 40
Saiga,Saiga tatarica,60 to 80,26 to 69,Sandy-cinnamon,10 to 12,Herbivore,Steppes,Wolves,30,"Russia, Kazakhstan",Critically Endangered,Bovidae,140,80,Herds,1 to 2
Saltwater Crocodile,Crocodylus porosus,400 to 600,400 to 1000,Dark Green,70,Carnivore,"Mangroves, Estuaries",None (Apex Predator),15,"Australia, Southeast Asia",Least Concern,Crocodylidae,80 to 90,25,Solitary,40 to 60 (eggs)
Sand Cat,Felis margarita,24 to 30,1.5 to 3.4,Pale sandy,13,Carnivore,Deserts,"Eagles, Wolves, Jackals",15,"North Africa, Middle East",Least Concern,Felidae,60 to 70,40,Solitary,2 to 4
Sangai Deer,Rucervus eldii eldii,115 to 125,90 to 150,Reddish-brown,10 to 15,Herbivore,Floating Marshes,Tigers,40,India,Endangered,Cervidae,240,60,Small groups,1
Saola,Pseudoryx nghetinhensis,90,Up to 100,"Brown, White",Up to 21,Herbivore,Forests,"Tigers, Leopards",26,"Vietnam, Laos",Critically Endangered,Bovidae,240,26,Solitary,1
Scimitar-horned Oryx,Oryx dammah,100 to 120,140 to 210,White with red-brown chest,20,Herbivore,Deserts,"Lions, Cheetahs",35,Africa (Reintroduced),Endangered,Bovidae,240 to 270,60,Herds,1
Serval,Leptailurus serval,54 to 62,8 to 18,"Yellowish-Tan, Black",10 to 12,Carnivore,"Grasslands, Wetlands","Leopards, Hyenas",44,Africa,Least Concern,Felidae,54 to 72,44,Solitary,1
Shortfin Mako Shark,Isurus oxyrinchus,394,Up to 800,Metallic Blue,28 to 35,Carnivore,Oceans,Larger Sharks,45,Worldwide,Vulnerable,Lamnidae,20 to 24,45,Solitary,1
Siamang,Symphalangus syndactylus,70 to 90,10 to 14,Black,25 to 30,Herbivore,Rainforests,"Tigers, Leopards",15,Southeast Asia,Endangered,Hylobatidae,210,35,Family Groups,1
Siberian Husky,Canis lupus familiaris,50 to 60,16 to 27,Various,12 to 14,Carnivore,Cold Regions,"Wolves, Bears",50 to 65,"Siberia, Alaska",Domesticated,Canidae,60 to 63,48,Pack-based,4 to 6
Siberian Tiger,Panthera tigris altaica,90 to 110,180 to 300,Orange with black stripes,15 to 20,Carnivore,Boreal Forests,Brown Bears (rare),35,"Russia, China",Endangered,Felidae,100 to 105,80,Solitary,2 to 4
Slender Loris,Loris,15 to 25,0.1 to 0.3,"Brown, Grey",15,Insectivore,Tropical Forests,"Snakes, Birds of Prey",1,"India, Sri Lanka",Endangered,Lorisidae,160 to 170,3,Solitary,1 to 2
Sloth,Folivora,50 to 60,3.6 to 9,"Brown, Gray",10 to 16,Herbivore,Rainforests,"Jaguars, Harpy Eagles",0.03 to 0.24,Central and South America,Least Concern,Bradypodidae,120 to 180,0.03 to 0.24,Solitary,1
Sloth Bear,Melursus ursinus,60 to 90,55 to 140,Black,20,Omnivore,"Forests, Grasslands","Tigers, Leopards",15,"India, Sri Lanka",Vulnerable,Ursidae,210,30,Solitary,1 to 2
Slow Loris,Nycticebus,20 to 38,0.3 to 1.6,Yellowish-Brown,20 to 24,Omnivore,Forests,"Birds, Snakes",1,Southeast Asia,Vulnerable,Lorisidae,23 to 26,3,Solitary,Up to 10
Smooth Hammerhead,Sphyrna zygaena,250 to 400,400,Grey-brown,20,Carnivore,Oceans,"Orcas, Larger Sharks",20,Worldwide,Vulnerable,Sphyrnidae,300,40,Schools,20 to 40
Snow Leopard,Panthera uncia,50 to 70,22 to 75,"Grayish-yellow, Black",10 to 15,Carnivore,"Mountains, Steppes","Humans, Wolves",40 to 60,"Central and South Asia,Himalayas Ranges",Vulnerable,Felidae,90 to 100,40 to 60,Solitary,1 to 5
Spectacled Bear,Tremarctos ornatus,120 to 200,35 to 77,"Black, Tan",10 to 25,Omnivore,Forests,"Jaguars, Pumas",45,South America,Vulnerable,Ursidae,200 to 294,45,Solitary,1
Spectacled Caiman,Caiman crocodilus,150 to 200,7 to 40,Olive green,30 to 40,Carnivore,"Rivers, Wetlands","Jaguars, Anacondas",10,Central and South America,Least Concern,Alligatoridae,90,30,Solitary,10 to 40 (eggs)
Spectacled Flying Fox,Pteropus conspicillatus,22 to 25,0.5 to 1.0,Black with pale yellow eye rings,12 to 15,Frugivore,Rainforests,"Pythons, Eagles",15,"Australia, New Guinea",Endangered,Pteropodidae,180,30,Camps (Colonies),1
Sperm Whale,Physeter macrocephalus,2050,Up to 57000,Gray,50 to 60,Carnivore,Oceans,Orcas,60,Worldwide,Vulnerable,Physeteridae,50 to 60,60,Solitary,1
Spotted Hyena,Crocuta crocuta,70 to 92,44 to 64,Yellowish-brown,12 to 25,"Carnivore, Scavenger","Grasslands, Savannahs","Lions, Leopards",56 to 64,Sub-Saharan Africa,Least Concern,Hyaenidae,90 to 110,56,Group-based,1 to 4
Springbok,Antidorcas marsupialis,70 to 90,27 to 42,"Brown, White",10,Herbivore,Savanna,"Lions, Cheetahs, Leopards",40,Africa,Least Concern,Bovidae,168,88,Herds,1
Squirrel Monkey,Saimiri,25 to 35,0.5 to 1,"Yellowish-Orange, Black",Up to 20,Omnivore,Rainforests,"Snakes, Hawks",30,Central and South America,Least Concern,Cebidae,15 to 20,30,Group-based,40 to 50
Star-Nosed Mole,Condylura cristata,12 to 20,Up to 0.06,"Black, Pink",Up to 4,Insectivore,"Wetlands, Forests",None (Apex Predator),1.2,North America,Least Concern,Talpidae,16 to 22,1.2,Solitary,2 to 10
Striped Hyena,Hyaena hyaena,60 to 80,22 to 55,Grey with stripes,12,Omnivore,"Savannas, Deserts","Lions, Tigers",20,"Africa, Middle East, India",Near Threatened,Hyaenidae,90 to 91,50,Small groups,1 to 4
Striped Skunk,Mephitis mephitis,50 to 75,1 to 5,Black and White,7,Omnivore,"Woodlands, Urban Areas","Great Horned Owls, Coyotes",5,North America,Least Concern,Mephitidae,60,16,Solitary,2 to 10
Sumatran Orangutan,Pongo abelii,66 to 100,23 to 56,Reddish-Brown,30 to 50,Omnivore,Rainforests,"Tigers, Humans",35,Sumatra,Critically Endangered,Hominidae,90 to 100,35,Solitary,1
Sumatran Rhinoceros,Dicerorhinus sumatrensis,100 to 145,750 to 950,Reddish-Brown,30 to 45,Herbivore,Rainforests,"Tigers, Humans",40,Southeast Asia,Critically Endangered,Rhinocerotidae,430 to 640,40,Solitary,1
Sumatran Tiger,Panthera tigris sumatrae,70 to 87,47 to 121,"Orange, Black Stripes",15 to 20,Carnivore,Rainforests,"Leopards, Humans",24,Sumatra,Critically Endangered,Felidae,140 to 230,24,Solitary,1 to 5
Sun Bear,Helarctos malayanus,120 to 150,27 to 80,Black,25 to 30,Omnivore,Tropical Forests,"Tigers, Leopards",32 to 56,Southeast Asia,Vulnerable,Ursidae,90 to 150,32 to 56,Solitary,1 to 2
Takin,Budorcas taxicolor,100 to 130,250 to 350,Golden-brown,16 to 18,Herbivore,Mountain Forests,"Bears, Wolves, Leopards",15,"China, Bhutan",Vulnerable,Bovidae,200 to 220,40,Herds,1
Tapir,Tapirus,70 to 120,150 to 400,"Brown, Black",25 to 30,Herbivore,"Rainforests, Grasslands","Jaguars, Crocodiles",48,South and Central America,Vulnerable,Tapiridae,390 to 395,48,Solitary,1
Tarsier,Tarsiidae,16,Up to 0.2,"Gray, Brown",12 to 20,Insectivore,Rainforests,"Birds, Snakes",40 to 50,"Southeast Asia, Philippines",Vulnerable,Tarsiidae,180 to 210,40 to 50,Solitary,1
Tasmanian Devil,Sarcophilus harrisii,30 to 76,4 to 14,"Black, White",5 to 8,"Carnivore, Scavenger","Forests, Grasslands",Tasmanian Tigers,16,"Tasmania, Australia",Endangered,Dasyuridae,21 to 28,16,Solitary,20 to 30
Thorny Devil,Moloch horridus,20,Up to 85,"Brown, Tan",5 to 20,Insectivore,"Desert, Scrublands","Birds, Snakes",0.16 to 0.32,Australia,Least Concern,Agamidae,90 to 120,Not Applicable,Solitary,3 to 10 (eggs)
Three-Toed Sloth,Bradypus,46 to 58,Up to 8,"Brown, Gray",10,Herbivore,Rainforests,Harpy Eagles,20,Central and South America,Least Concern,Bradypodidae,30 to 40,20,Solitary,1 to 2
Tibetan Mastiff,Canis lupus familiaris,61 to 78,63 to 75,"Black, Brown, Gray",10 to 12,Omnivore,Human Dwellings,None (Apex Predator),45,"Asia, Tibet",Domesticated,Canidae,58 to 82,45,Social groups,1 to 10
Tomato Frog,Dyscophus,6 to 10,0.04 to 0.2,Red-Orange,6 to 8,Insectivore,Rainforests,"Snakes, Birds",2,Madagascar,Least Concern,Microhylidae,36,5,Solitary,1000 to 1500 (eggs)
Tree Kangaroo,Dendrolagus,51 to 79,4 to 8,"Brown, Red",15 to 20,Herbivore,Rainforests,"Quolls, Pythons",30,"Papua New Guinea, Indonesia",Endangered,Macropodidae,126 to 130,30,Solitary,1
